"Address","Name","Size","Length","Description","Links"
"004FF900","Filename for Lastreplay","12","1","Contains the string ""LastReplay"".","[Link]"
"004FF90C","Replay Speed Limiters","4","7","The speed in milliseconds to spend each frame during a repl…","[Link]"
"004FF928","Replay Command Table","16","2","Contains the replay commands ""show"" and ""hid…","[Link]"
"004FF948","Replay show command modifiers","32","12","Contains sub-commands and leaderboard values to use in the …","[Link]"
"004FFAD0","Menu Info Array","12","27","Contains the menu index, background index, and menu path.","[Link]"
"004FFC20","Campaign List Info","8","85","Contains the campaign listing info. WORD gluHist.tbl inde…","[Link]"
"004FFF60","Establishing shot pointers","8","65","64 entries defining campaign mission prologue/establishing …","[Link]"
"0050C000","cInit Constructor Function Table","4","310","Standard C-Runtime. Generated by Visual C++.","[Link]"
"005122A0","Campaign list pointers","4","6","Pointer to memory location of details of first mission in S…","[Link]"
"005122B8","Current Cinematic ID","4","1","An index for the currently playing cinematic.","[Link]"
"005124D8","Replay Frame Speed Table","4","7","Contains the value in milliseconds required for each frame.…","[Link]"
"005124F4","Standard Frame Speed Table","4","7","Contains the time in milliseconds spent each frame. Array i…","[Link]"
"00512510","Image Update Functions","8","18","An array of image functions. The array is officially called…","[Link]"
"005125A0","Image Drawing Functions","12","18","This corresponds to a value in images.dat. The official nam…","[Link]"
"00512678","Active Nation ID","4","1","This is the same as Human ID unless you are playing Team Me…","[Link]"
"0051267C","Active Human ID","4","1","This is your player ID. The official name for this is g_Act…","[Link]"
"00512680","Active Storm ID","4","1","This is your active storm ID, which is different from your …","[Link]"
"00512684","Local Nation ID","4","1","The official name for this is g_LocalNationID.","[Link]"
"00512688","Local Human ID","4","1","The official name for this is g_LocalHumanID.","[Link]"
"0051268C","Local Storm ID","4","1","The official name for this is g_LocalStormID.","[Link]"
"00512690","Cinematic File Name Array","4","28","Contains string pointers for the file names of all game cin…","[Link]"
"00512700","Race Filename Modifiers","8","1","Contains 3 bytes ""ztp"" used when loading race-spe…","[Link]"
"00512708","Cursor Filename Array","4","19","Contains pointers to a string for each cursor image.","[Link]"
"00512754","Cursor Scroll Type Modifiers","2","10","Contains the index for the cursor used for scrolling.","[Link]"
"005127DC","Tileset Color Cycle Pointers","4","9","Contains pointers to the tileset color cycle data. Array in…","[Link]"
"00512800","Trigger Action Function Array","4","60","Contains function pointers for all trigger actions.","[Link]"
"0051CE8C","Inverse system time","4","1","Value : -GetTickCount() (about 10ms error) Used for inpu…","[Link]"
"0051F2A8","Images Attack Overlay Array","4","999","Pointers to GRP handles for all images.","[Link]"
"00520244","Images Damage Overlay Array","4","999","Pointer to GRP handles for all images.","[Link]"
"005211E0","Images Special Overlay Array","4","999","Pointers to GRP handles for all images.","[Link]"
"0052217C","Images Landing Dust Overlay Array","4","999","Pointers to GRP handles for all images.","[Link]"
"00523118","Images Liftoff Dust Overlay Array","4","999","Pointers to GRP handles for all images.","[Link]"
"0052E5C8","Images Shield Overlay Array","4","999","Pointer to GRP handles for all images.","[Link]"
"0052F568","Images Array","64","5000","The array of images currently processed in the game.","[Link]"
"0057EE7C","Player Human IDs","4","8","The Human ID for each player.","[Link]"
"0057EE9C","Player Name","25","1","If you are playing as 'asldkvjs' then you will fi…","[Link]"
"0057EEC0","Player Nation IDs","4","8","The Nation ID for each player.","[Link]"
"0057EEE0","Active Player Structures","36","12","A structure for each player containing their HumanID, Storm…","[Link]"
"0057F090","Network Provider Latency Calls","4","1","A value used by the network provider(standard.snp) for dela…","[Link]"
"0057F094","Last Whisper Player","25","1","The name of the player that last whispered you (in-game onl…","[Link]"
"0057F0B0","Vision Filter","4","1","A shared vision filter used for changing the player's …","[Link]"
"0057F0B4","Multiplayer Mode","4","1","A boolean value that specifies if the game is Single or Mul…","[Link]"
"0057F0B8","Network Player Status Array","4","8","An array containing flags for each player's network st…","[Link]"
"0057F0D8","Network Maximum Buffer Size","4","1","A value indicating the maximum size for the command buffer …","[Link]"
"0057F0DC","Main Menu Dialog Handle","4","1","A handle to the main menu BIN dialog.","[Link]"
"0057F0F0","Player Minerals","4","12","The amount of ore the player currently has.","[Link]"
"0057F120","Player Gas","4","12","The amount of gas the player currently has.","[Link]"
"0057F150","Player Total Gas","4","12","The total amount of gas that the player has harvested.","[Link]"
"0057F180","Player Total Minerals","4","12","The total amount of minerals that the player has harvested.","[Link]"
"0057F1DC","Tileset","2","1","The current tileset ID being used.","[Link]"
"0057F1E1","Active Player Count","1","1","The number of active players in the game.","[Link]"
"0057F1E2","Console Index","1","1","A value indicating which console GUI should be displayed.","[Link]"
"0057F1EC","Shared Vision","4","12","The shared vision values for each player. StarCraft does…","[Link]"
"0057F21C","Player Color Mapping","4","8","A mapping of the player's colors.","[Link]"
"0057F23C","Elapsed Time","4","1","The elapsed game time.","[Link]"
"0057F244","Campaign Index","2","1","A value indicating which campaign is being played.","[Link]"
"0057F246","Next Scenario","32","1","The name of the next scenario, set using the Set Next Scena…","[Link]"
"0057FD34","Last Event Position","8","1","A POINT structure containing the position of the last event…","[Link]"
"0057FD3C","Map File Name","260","1","The current map's file name.","[Link]"
"0057FE40","Map Title","32","1","The current map's title.","[Link]"
"0057FE60","Hotkeyed Unit","4","12","Having trouble with players not hotkeying what they're…","[Link]"
"00581D6A","Player Selection Circle Colors","1","12","Each byte sets the color of the selection circle: 00 - Gre…","[Link]"
"00581D76","Unit Color Table","8","12","Each byte corresponds to a palette index used for each play…","[Link]"
"00581DD6","Minimap Color Table","1","12","Each byte references a palette index. This table is immedi…","[Link]"
"00581DE4","Score Total Units Produced","4","12","","[Link]"
"00581E14","Score Units Produced","4","12","","[Link]"
"00581E44","Score Units Owned","4","12","","[Link]"
"00581E74","Score Units Lost","4","12","","[Link]"
"00581EA4","Score Units Killed","4","12","","[Link]"
"00581ED4","Score Unit Total","4","12","","[Link]"
